id,SPLIT
4484636-8,4
4484614-9,3
4484615-0,1
4484612-5,1
4484620-4,4
4484710-6,4
4484746-5,3
4484804-5,4
4477367-1,1
4481199-8,4
4477434-2,0
4481041-5,2
4335012-X,2
4335736-4,3
4335911-9,2
4330604-6,2
4331178-6,0
4332371-9,3
4332339-2,4
4351499-0,0
4338308-0,2
4339364-6,1
4338828-9,0
4340405-0,3
4340471-2,4
4341455-0,3
4340997-1,2
4340987-9,1
4353533-0,2
4365465-2,2
4365778-4,0
4365596-7,4
4365585-2,4
4365654-7,2
4365992-8,2
4365853-4,1
4365831-5,2
4366246-6,0
4366249-1,2
4371311-3,1
4371310-1,3
4371337-X,0
4370641-9,0
4370671-7,0
4370803-0,1
4370805-4,3
4370806-6,2
4370807-8,2
4372071-2,3
4359558-3,1
4359753-3,0
4362526-9,3
4519816-6,1
4519817-8,3
4519382-5,4
4519372-2,4
4505807-8,3
4505808-X,4
4506587-2,4
4495665-2,0
4495947-4,2
4495946-2,1
4499262-4,4
4499261-2,2
4499260-0,0
4499259-4,4
4499258-2,0
4499257-0,1
4499256-9,4
4497673-4,4
4497674-6,0
4493766-6,4
4493765-4,1
4494020-9,0
4494218-X,2
4496563-0,3
4496562-9,4
4496561-7,2
4493272-9,1
4406648-2,2
4407054-7,2
4406887-0,1
4406885-7,3
4400506-5,1
4395052-1,0
4395053-3,4
4395188-5,1
4396850-0,3
4396752-X,1
4396311-9,1
4398058-1,0
4398623-1,0
4398622-X,2
4398481-5,0
4392801-3,4
4392844-X,4
4392219-3,1
4516282-1,3
4517887-4,3
4520912-8,4
4520420-4,4
4521255-9,2
4490624-8,0
4510460-3,2
4510289-6,3
4491655-4,1
4494491-8,2
4494688-7,2
4494679-6,3
4494677-2,4
4494835-7,4
4494772-8,4
4489568-7,2
4489793-5,1
4492778-6,2
4497628-X,4
4497545-5,3
4497544-3,2
4501458-X,1
4500153-0,1
4476083-X,4
4476598-4,2
4449509-5,1
4449506-X,4
4449507-1,0
4449505-8,1
4448514-2,1
4448474-4,3
4449153-X,4
4445369-7,0
4441784-6,4
4441670-1,3
4441668-3,3
4404117-7,0
4404247-X,2
4404239-0,3
4405363-9,1
4408313-4,4
4422548-6,0
4422335-9,2
4411203-4,0
4409963-1,2
4409962-X,3
4415010-8,3
4415212-0,4
4507705-2,1
4514941-8,1
4436820-7,3
4437755-6,4
4439035-1,1
4439847-4,2
4434272-4,1
4435060-5,2
4430771-X,3
4430721-6,1
4430096-2,4
4431445-1,2
4431783-2,3
4431782-0,2
4431781-9,0
4431163-X,4
4431162-8,0
4431160-4,3
4431159-8,2
3789325-0,2
3779231-X,1
3778747-X,2
3796534-3,4
3796517-3,4
3796556-2,1
3795602-X,2
3794301-8,4
3794314-6,2
3793011-0,2
3800800-2,1
3800653-2,4
3792430-6,2
3777385-2,2
3777291-3,3
3672518-0,1
3733968-7,0
3732738-3,1
3720887-5,2
3720895-4,1
3719816-X,1
3719229-0,4
3719203-4,2
3719208-3,0
3719213-7,1
3719185-5,0
3719196-X,3
3719178-8,4
3719252-6,2
3719258-7,1
3719237-X,4
3719354-4,3
3719347-7,2
3719345-3,0
3719351-9,4
3719342-8,2
3719340-4,3
3719331-3,0
3719319-2,1
3719366-0,0
3719363-5,1
3719443-4,1
3719496-3,0
3728592-6,1
3717149-9,3
3718591-2,1
3718588-2,1
3718587-0,4
3718585-7,0
3718584-5,2
3718609-7,2
3718592-4,3
3718593-6,4
3718594-8,2
3718600-0,1
3718601-2,0
3718162-8,4
3719153-3,0
3718856-4,4
3733120-5,2
3732283-5,4
3732245-8,2
3833441-1,0
3833448-4,2
3833620-3,1
3812077-2,2
3812061-9,1
3807966-9,4
3807965-7,1
3807964-5,2
3807521-0,2
3807510-6,0
3807511-8,0
3827776-6,1
3827762-6,0
3829554-0,0
3806848-6,0
3806799-7,1
3804458-8,4
3803944-4,2
3803219-3,4
3814590-0,4
3766238-1,4
3764160-8,1
3763769-5,4
3780628-2,2
3773395-X,4
3773393-6,0
3773391-2,4
3773390-0,4
3773389-4,0
3773914-3,2
3774448-2,0
3761818-1,1
3782165-8,3
3771305-2,2
3771309-X,1
3771403-3,1
3771543-9,0
3806372-0,1
3806249-0,4
3805626-1,2
3813414-5,1
3815711-6,2
3816295-9,4
3810591-7,1
3810589-9,0
3811151-4,0
3811152-6,0
3809435-9,2
3809961-2,2
3809960-0,4
3840367-6,0
3839900-X,4
3846940-3,4
3845301-0,0
3843815-0,1
3843858-7,0
3843860-5,0
3842907-X,4
3822377-8,2
3821755-0,0
3822009-9,3
3821966-4,1
3823189-1,4
3823212-4,0
3824336-8,2
3820735-9,4
3837163-2,0
3837165-6,3
3835073-8,2
3834975-6,2
3834706-X,3
3845598-7,4
3844441-X,4
3844491-3,1
3844792-9,2
3845010-8,3
3843580-7,0
3843372-9,4
3838994-5,0
3841174-0,0
3840854-0,4
3768589-3,3
3768839-3,1
3768838-1,0
3767792-6,4
3802254-9,2
3751782-3,4
3751930-5,3
3751895-6,2
3755904-X,3
3754386-1,1
3797783-0,1
3790285-7,2
3787866-3,1
3787861-4,0
3787801-8,3
3787505-1,3
3786108-2,3
3778249-0,1
3783117-4,1
3783075-2,2
3776219-X,1
3763074-7,4
3762429-4,4
3746373-4,3
3746371-0,1
3745910-3,0
3749017-0,4
3749015-7,0
3735668-6,4
3789232-3,2
3789280-3,4
4111662-0,4
4111369-X,2
4099382-2,4
4098765-4,1
4098221-3,3
4109692-8,3
4107962-0,3
4108176-0,4
4108177-2,2
4107150-8,1
4117315-7,0
4117325-X,2
4117329-7,4
4117350-9,0
4117354-6,4
4117269-3,4
4117273-5,0
4117277-2,4
4117287-5,1
4117286-3,0
4117288-7,4
4117303-0,0
4117074-8,1
4117075-X,0
4117080-3,2
4117081-5,1
4117237-1,1
4117239-5,1
4117233-4,0
4117226-7,0
4117221-8,4
4117179-1,3
4117183-3,0
4117171-7,3
3963233-4,0
3963699-X,1
3951316-4,4
3951212-2,0
3951210-9,3
3951088-3,1
3950928-1,3
3950337-5,1
3950579-9,3
3949884-1,2
3949606-4,3
3949641-6,2
3953566-X,0
3952984-3,0
3953000-X,0
3952406-2,1
3952486-4,3
3952488-8,1
3951998-7,3
3957003-0,1
4192418-X,2
4194178-5,3
4187551-2,2
4187556-1,1
4187554-8,3
4189096-2,1
4188498-8,4
4189992-6,2
4189994-X,3
4189997-5,1
4189999-9,3
4189983-5,1
4189650-8,0
4191082-3,4
4191203-2,2
4190755-6,1
4190278-4,1
4198088-9,0
4198284-0,3
4193938-4,2
4193940-2,1
4193942-6,3
4193612-4,3
4195385-8,2
4195522-5,0
4196846-8,3
4197072-9,3
4196952-8,1
4196945-0,0
4196946-2,0
4196942-5,4
4128792-X,3
4128826-2,1
4129573-3,1
4136019-8,2
4103035-1,3
4103016-8,3
4096321-5,2
4110139-6,4
4109907-6,4
4108616-7,2
4094899-9,0
4095215-9,0
4095169-5,3
4095574-7,3
4095744-8,2
4093147-3,0
4090700-8,1
4091344-4,4
4091030-0,1
4091552-2,0
4091408-5,1
4087883-2,3
4087946-1,0
4163808-6,0
4163910-9,3
4163876-1,3
4164014-1,2
4167072-3,0
4168152-9,4
4171515-9,1
4178199-4,3
4180445-8,2
4180412-4,4
4180409-4,1
4180531-2,3
4180840-7,4
4180994-2,2
4181107-3,2
4181708-2,0
4181525-3,2
4181847-6,1
4184363-0,1
4185082-7,1
4186012-4,3
4185983-X,4
4120658-4,2
4125640-9,1
4125638-0,1
4122099-2,1
4122129-8,1
4086298-0,4
4086300-6,3
4123570-X,0
4163065-0,4
4163403-9,4
4173064-0,2
4172410-1,0
4171931-5,3
4175477-X,0
4169756-X,0
4169757-1,3
4170184-1,0
4170211-1,2
4166189-7,0
4168965-3,1
4119465-8,1
4119078-8,2
4120062-9,1
4115295-1,3
4114493-0,3
4116022-4,4
4127422-0,2
4309767-4,3
4309658-9,4
4309532-8,4
4310919-8,3
4310278-0,4
4322257-8,0
4322469-3,0
4322319-5,4
4320529-4,3
4320333-7,1
4320323-4,2
4321098-5,3
4320820-1,4
4320896-1,3
4267176-0,2
4267016-X,1
4266163-6,3
4266014-X,0
4263640-9,0
4263636-7,4
4272529-0,2
4271755-4,2
4271760-8,1
4271976-0,1
4281088-8,2
4280367-8,4
4281869-0,3
4281980-4,2
4284070-X,4
4274352-X,1
4269156-8,2
4269341-5,3
4269679-1,3
4269602-X,1
4268831-9,4
4432881-X,2
4433127-9,1
4433132-2,4
4428601-5,2
4428600-3,1
4429532-7,2
4426722-4,2
4426592-4,4
4427501-4,3
4455130-5,3
4455131-7,1
4455295-5,3
4424062-0,2
4352372-4,0
4352368-2,2
4351206-1,4
4351205-X,3
4351204-8,0
4351202-4,3
4351200-0,1
4351180-8,0
4351177-8,1
4351176-6,0
4351179-1,1
4351173-0,4
4351172-9,3
4351168-7,3
4351171-7,3
4351170-5,1
4351198-5,3
4351199-7,1
4351192-4,1
4351195-X,2
4351187-0,4
4351147-X,4
4351151-1,2
4351140-7,4
4351166-3,4
4351164-X,2
4351153-5,0
4351158-4,0
4351156-0,4
4351157-2,4
4351135-3,4
4351087-6,3
4351084-0,1
4351085-2,3
4351083-9,1
4351090-6,1
4351089-X,3
4351100-6,2
4351098-0,0
4351048-7,0
4353695-5,2
4357164-8,0
4356849-7,0
4356598-5,4
4342788-4,2
4355652-1,4
4355409-1,2
4355371-1,4
4355372-3,2
4354994-3,4
4354529-5,0
4354066-8,4
4354067-X,3
4357749-9,1
4398854-0,4
4290591-6,4
4277174-9,3
4276425-4,1
4288660-X,4
4288670-2,2
4290158-X,1
4278992-3,4
4279837-8,4
4279753-1,0
4285359-0,0
4386661-4,0
4385425-5,0
4384895-6,2
4387674-9,0
4386909-6,3
4383983-8,4
4383886-9,4
4383409-4,4
4390412-7,4
4390010-5,4
4390219-0,1
4390235-9,3
4390228-1,1
4388675-7,3
4285827-1,2
4286453-0,1
4286835-7,4
4369171-X,0
4369174-5,3
4369172-1,0
4369176-9,4
4369556-1,3
4369558-5,3
4360290-0,3
4360247-X,1
4358522-8,4
4358456-9,0
4367317-0,2
4367053-0,0
4367054-2,3
4366404-0,1
4366405-2,3
4295466-4,3
4295443-3,1
4295041-1,4
4294747-8,4
4294775-2,3
4306803-6,3
4306929-7,3
4305636-4,0
4305909-5,1
4304220-6,2
4304193-6,1
4304175-4,2
4308929-X,4
4308978-1,3
4308927-6,1
4308924-0,1
4308785-X,2
4306999-6,2
4306994-7,3
4307487-3,2
4307498-8,1
4302347-6,0
4301261-X,2
4301583-2,0
4301589-3,1
4303330-7,4
4303827-X,2
4303610-5,2
4389588-7,4
4389073-2,2
4459251-2,4
4457813-X,1
4458032-3,0
4458255-3,3
4457045-5,1
4457360-5,0
4457437-4,4
4463676-9,2
4463483-7,4
4463147-X,3
4303448-9,0
4302151-9,1
4317165-2,1
4316489-2,0
4313820-9,4
4313308-5,4
4313397-8,1
4314758-3,1
4314637-1,2
4314684-X,1
4314683-8,4
4314681-4,4
4314680-2,0
4323700-0,3
4323683-3,1
4323680-8,4
4323838-8,0
4323839-X,1
4323836-4,0
4323834-0,4
4323829-7,0
4323910-2,2
4323942-4,2
4324630-0,4
4324620-8,1
4324623-3,2
4325070-0,1
4325244-9,4
4325234-6,0
4325233-4,2
4325232-2,3
4325239-5,4
4325366-2,1
4325371-6,0
4325375-3,0
4312104-2,3
4312203-5,3
4999888-5,3
5000051-2,1
5001124-0,1
5001072-6,3
5000978-1,3
5002947-4,4
4999296-7,1
4999169-X,3
5006562-8,0
5036531-3,0
4715042-6,4
4715041-4,2
4716754-0,4
4717011-9,2
4717012-0,2
4717250-7,1
4717279-9,4
4717238-6,4
4717237-4,4
4717213-1,3
4777036-4,2
4777103-5,1
4786063-2,1
4716050-1,0
4710818-3,3
4710718-9,3
4710516-6,0
4714008-X,0
4710988-7,2
4713510-4,1
4713337-3,2
4713385-3,1
4713093-9,4
4915753-3,1
4915754-5,2
4915755-7,2
4916708-5,4
4918803-3,1
4918491-6,2
4919754-0,1
4942919-9,0
4942904-7,2
4943503-3,0
4943504-5,4
4943744-5,4
5009703-1,0
4998048-1,2
4998609-X,3
4998550-2,0
4998753-7,0
4998745-8,0
5012218-8,1
5011954-7,2
5011768-8,0
5010985-0,1
5010751-6,0
5010719-X,3
5008157-9,0
5007426-6,4
5007836-7,3
5008668-6,1
5005606-7,1
5003286-8,0
5004193-7,2
5004194-9,2
4922629-4,4
4940929-9,4
4940930-5,3
4942803-0,3
4942826-1,1
4944060-8,0
4947834-2,4
4947753-1,2
4946323-9,0
4931606-9,3
4931841-X,3
4934293-9,0
4989996-7,3
4989998-0,3
4984940-0,3
4985773-1,0
4983133-0,4
4995025-1,2
4993955-8,2
4983555-8,0
4963718-8,2
4956588-5,2
4951762-6,3
4948854-4,0
4952871-8,4
4953929-X,3
4953928-8,2
4953353-X,2
4954690-5,4
4954689-9,1
5011498-2,2
5013289-5,0
5012964-6,4
5012678-2,2
4900093-9,2
4900425-1,4
4899130-X,4
4899432-7,1
4899476-5,0
4924692-3,0
4929678-0,1
4928125-2,0
4928963-6,4
4928926-0,0
4928924-7,0
4928922-3,1
4928779-0,4
4928778-9,2
4928777-7,3
4946921-2,2
4946922-4,0
4946923-6,4
4946924-8,1
4946488-9,2
4933093-3,2
4934006-0,2
4937234-3,0
4937312-9,0
4937314-2,1
4937310-5,1
4937311-7,3
4937308-7,1
4937144-1,0
4939767-2,4
4938327-7,1
4958283-5,3
4819064-6,0
4818959-7,4
4818734-3,2
4818292-3,4
4817945-0,4
4817876-6,3
4817621-4,1
4817622-6,1
4817218-6,1
4817217-4,4
4817215-0,2
4817049-7,1
4817037-0,4
4823707-0,0
4823731-8,3
4823926-3,4
4823917-2,3
4822034-5,3
4822031-X,3
4822141-7,3
4821945-4,4
4889579-3,2
4889515-X,1
4886630-1,2
4887487-5,3
4887705-3,2
4883225-0,0
4883226-2,4
4883094-9,4
4883821-0,3
4884358-5,3
4914880-4,3
4914882-8,1
4910773-7,1
4909908-1,4
4909941-X,1
4909382-5,0
4909381-3,2
4909380-1,0
4909000-6,2
4908295-2,4
4908292-7,3
4908192-2,4
4907960-0,2
4907386-X,3
4907486-4,4
4907111-2,0
4906153-0,3
4879820-5,4
4878720-4,2
4878842-8,0
4882012-7,0
4881686-4,0
4894762-7,2
4895182-1,2
4891284-4,4
4890946-2,1
4892251-7,3
4913045-X,4
4912017-9,3
4911138-4,2
4911089-5,2
4915177-9,0
4915157-3,1
4913812-2,1
4913811-0,0
4913674-3,4
4783556-9,0
4778405-9,4
4776547-5,1
4776231-8,0
4776349-X,0
4776049-6,3
4784425-0,2
4717911-X,3
4718346-6,1
4718345-4,2
4785094-6,0
4785071-5,2
4836428-5,4
4836426-1,2
4834137-X,4
4834136-8,2
4833799-0,4
4835315-6,4
4834926-1,2
4834925-X,0
4834972-8,3
4834784-5,2
4837925-9,4
4837924-7,4
4838030-8,4
4838191-0,3
4838203-4,1
4838293-9,0
4844842-7,4
4844841-5,4
4844697-0,4
4844704-5,2
4845422-X,0
4841686-7,1
4842045-3,2
4842909-0,3
4843023-0,4
4847668-3,2
4848253-X,4
4848799-4,3
4849227-5,2
4849229-9,2
4849228-7,1
4849569-3,2
4846031-9,3
4846536-0,1
4846566-9,0
4846617-1,2
4847026-1,0
4880103-8,4
4872659-6,4
4873012-1,0
4897629-3,0
4897627-X,4
4825919-9,4
4825698-5,3
4832891-4,0
4831309-5,2
4831411-8,2
4830667-5,3
4831215-6,3
4835877-9,3
4835875-5,1
4836643-0,0
4896345-1,1
4896347-5,2
4896740-0,2
4896739-4,0
4896536-X,3
4893505-0,2
4893527-X,2
4893327-0,0
4875055-0,2
4875106-3,1
4877670-7,0
4791779-8,3
4791046-2,2
4791045-0,0
4791010-3,1
4790675-X,1
4793559-6,1
4793501-8,2
4793410-4,2
4793409-8,1
4793628-0,3
4795174-7,1
4798275-2,0
4796762-4,4
4796488-7,2
4797415-9,4
4799706-4,1
4800370-6,1
4810816-5,3
4814063-2,0
4808862-0,1
4808863-2,4
4808865-6,1
4808864-4,3
4809076-0,1
4809376-4,4
4810341-1,3
4815205-5,4
4816264-6,2
4816250-6,3
4815884-2,4
4820833-7,2
5031400-7,0
5031401-9,2
5031468-8,3
5032538-0,0
5038829-1,1
5038316-0,1
5040273-8,1
5042076-7,4
5041917-7,2
5041376-4,3
5021097-4,1
5021251-1,4
5062930-X,0
5064308-1,4
5064457-8,3
5064576-6,0
5113968-5,3
5114507-5,2
5115007-9,4
5115074-2,3
5115061-4,1
5115060-2,1
5115191-7,1
5113718-2,1
5113634-6,1
5043858-8,3
5045196-6,2
5070093-X,1
5067636-9,1
5067093-2,2
5067204-9,2
5026947-3,1
5026766-8,3
5026730-9,4
5026237-9,3
5058355-3,0
5058345-0,2
5058310-3,2
4962436-X,2
5028902-6,3
5023622-6,3
5023370-2,2
5023365-9,3
5022127-6,0
4970125-0,0
4970238-3,3
4970218-8,2
4965870-7,2
4964902-X,3
4963008-3,1
4963103-9,2
4963341-5,4
4960257-5,3
4962137-8,4
4972822-X,4
4972821-8,1
4972820-6,3
4973325-9,2
4973432-0,3
4980379-2,1
4972131-9,1
4972325-2,2
4971961-7,0
4970899-9,0
5073381-6,1
5074417-9,2
5071275-3,3
5072363-8,2
5072644-8,2
5078004-8,1
5078003-6,0
5078002-4,3
5078001-2,3
5078000-0,2
5077999-6,0
5078269-2,4
5078268-0,1
5078142-X,3
5078654-9,1
5076096-3,3
5050366-7,3
5049419-9,4
4981211-3,3
4995726-5,2
4995578-3,3
4989080-2,1
5034012-4,4
5037224-9,1
5113505-5,0
5069345-9,0
5123919-5,1
5123916-X,0
5120430-2,0
5118044-3,4
5119449-7,1
5119170-5,0
5119832-X,0
5119925-7,1
5119698-8,2
5065236-8,3
5065327-1,1
4888329-4,1
4884983-1,4
4884984-3,4
4885931-0,1
4906062-7,4
4906379-6,2
4906378-4,0
4906899-4,1
4903556-5,1
4925966-2,1
4902815-X,2
4902816-1,0
5020581-7,0
5019303-5,1
5019142-5,0
5019510-1,2
5019515-0,2
5019429-6,0
5018062-X,1
5018164-8,0
5020910-4,2
5046898-8,1
5015435-6,2
5015391-0,3
5016589-8,1
5015140-6,1
5016761-7,0
5017152-5,3
5014472-5,0
5015611-2,3
4537852-0,0
4537850-7,3
4537851-9,1
4537849-0,0
4537360-7,2
4524959-7,1
4469693-7,4
4469061-8,1
4469177-6,0
4468902-8,0
4705778-5,2
4695068-1,1
4695780-4,3
4695784-1,2
4696903-3,2
4696844-1,3
4705031-X,4
4698624-X,2
4701787-0,2
4694440-3,2
4694436-1,3
4694437-3,0
4694439-7,2
4694085-5,1
4694602-5,3
4691683-X,3
4691418-0,4
4692815-X,0
4691982-1,1
4624298-X,3
4606925-6,4
4605187-3,0
4621683-7,2
4622188-X,4
4613946-6,4
4613580-8,2
4612718-6,4
4482619-5,1
4477611-0,2
4477563-3,3
4478760-3,3
4478552-5,0
4483931-6,0
4489179-3,4
4485814-4,2
4463883-5,3
4463887-2,0
4463886-0,2
4463885-9,2
4463884-7,1
4463888-4,3
4463889-6,1
4468279-8,4
4468338-X,3
4465207-6,3
4697185-9,0
4697184-7,0
4697183-5,2
4699555-1,1
4699894-4,1
4700991-5,4
4693169-5,0
4685331-2,2
4684108-1,4
4684060-9,3
4684182-2,3
4683827-0,3
4683826-9,3
4683825-7,3
4684307-9,3
4579720-4,0
4579739-3,4
4579587-4,2
4579507-2,2
4580076-1,1
4580078-5,1
4579922-7,3
4579854-4,1
4582543-3,4
4582546-9,4
4560717-5,3
4561875-9,3
4561170-8,1
4560888-0,1
4560889-2,3
4560890-9,2
4560892-2,1
4560381-5,4
4558903-3,2
4647274-X,2
4640622-6,3
4640280-0,3
4639082-0,1
4652670-0,4
4652240-4,3
4652512-3,4
4652013-2,3
4650187-0,1
4644698-1,0
4644777-9,4
4642905-2,1
4551617-5,1
4551716-8,0
4551712-0,3
4551714-4,2
4551711-9,3
4565350-7,1
4565890-0,3
4565640-8,3
4545060-2,4
4545249-2,3
4545268-6,2
4552929-1,4
4554553-3,0
4529313-X,4
4528889-6,4
4529402-X,0
4529397-9,2
4539480-X,0
4539701-3,1
4522031-3,0
4643392-0,2
4628266-3,3
4628265-1,2
4633214-6,1
4633598-9,2
4633825-8,1
4635181-8,3
4629139-2,1
4629166-5,3
5170278-8,3
5170286-7,4
5170254-5,2
5170265-X,2
5125328-1,1
5169692-6,4
5122427-5,2
5122461-5,1
5123303-4,3
5120828-2,4
5120129-2,0
5121261-X,2
5121053-1,0
5121044-0,2
5118148-5,2
5165141-2,3
5165285-5,2
5162439-9,1
5162061-4,3
5106955-4,0
5106821-4,0
5106735-X,4
5108238-5,1
5079482-0,0
5079347-4,0
5083089-9,1
5083076-0,1
5082776-6,4
5082491-9,2
5085706-6,4
5085966-1,3
5086170-3,2
5085462-1,3
5049117-1,2
5047897-2,0
5047894-7,0
5047459-7,1
5054155-9,1
5051973-8,1
5051282-7,0
5051301-8,4
5051113-5,3
5050789-6,0
5050771-9,0
5050510-1,0
5050618-0,0
5060608-X,2
5061396-3,2
5096220-6,1
5096302-9,2
5096352-2,4
5055017-3,4
5055349-9,0
5061716-X,2
5097151-8,4
5096710-6,1
5098353-7,1
5099613-6,3
5103343-1,2
5102700-7,0
5102674-9,2
5103936-1,0
5103935-X,3
5103934-8,3
5103933-6,4
5103932-4,3
5103931-2,0
5089989-8,0
5138159-3,2
5138172-6,4
5138171-4,1
5138170-2,2
5138168-4,4
5136935-4,2
5136481-8,4
5136480-6,2
5136611-8,3
5140248-4,0
5139249-1,2
5134945-4,1
5134946-6,3
5133776-9,1
5133777-0,0
5132331-4,1
5133086-X,2
5144105-9,4
5143366-X,1
5143198-2,1
5142396-1,0
5141563-0,4
5141409-0,4
5141115-2,3
5130235-4,0
5133008-1,4
5130270-6,4
5135730-X,0
5136234-0,1
5135962-0,1
5134358-5,1
5169341-7,1
5084029-9,0
5083621-5,1
5083622-7,0
5083619-7,4
5086921-8,1
5094223-9,2
5094365-8,2
5091475-6,4
5091644-5,3
5087990-1,4
5090818-7,4
5119765-9,4
5174813-5,4
5129065-9,2
5127064-4,4
5128021-4,4
5176891-6,3
5176888-6,4
5125083-5,2
5125034-3,1
5124865-3,4
5103655-1,0
5104545-0,1
5099909-8,1
5099927-X,1
5101184-2,0
5102253-3,0
5080732-5,1
5080516-8,1
5104218-4,0
5104217-2,1
5105618-9,2
5105619-0,0
5105712-2,1
5108692-9,4
5109257-5,4
5106296-5,1
4396301-6,0
4343950-7,4
4344426-3,3
4344429-9,3
4347104-X,2
4415414-3,2
4349784-1,3
4349945-1,1
4348204-0,2
4347998-8,2
4348005-3,3
3157837-9,0
3158125-7,2
3142364-5,1
3142363-3,3
3142361-X,2
3142358-X,0
3142355-4,3
3149131-7,3
3150337-1,0
3158598-X,4
3158777-1,1
3158779-5,1
3150334-6,2
3151481-5,3
3158810-7,4
3158814-4,3
3159493-2,0
3159492-0,2
3159495-6,4
3159494-4,3
3159496-8,0
3160920-5,2
3145567-9,2
3145563-1,0
3145558-8,2
3145553-9,4
3145571-0,1
3161973-0,2
3146071-4,0
3146068-4,2
3142929-0,2
3143868-1,4
3103681-8,1
3103505-9,2
3103496-0,4
3103502-3,0
3103500-X,3
3103489-3,3
3103493-5,4
3103272-9,1
3167168-9,3
3167073-8,4
3169426-0,3
3169428-4,4
3169437-5,1
3168276-9,2
3173724-4,3
3173726-8,4
3173497-5,0
3173914-0,2
3163306-2,0
3165748-8,2
3165484-8,3
3167899-0,2
3138312-4,1
3114199-0,3
3114217-X,4
3114079-0,2
3114078-9,2
3125454-2,1
3125455-4,3
3236064-0,3
3127541-1,2
3129801-7,2
3129806-6,2
3129804-2,4
3129793-0,1
3129797-8,4
3129476-7,2
3121961-7,4
3121719-9,4
3121723-0,0
3121734-5,2
3121736-9,1
3121577-2,2
3154353-5,0
3154713-2,0
3154717-X,3
3154719-3,3
3137542-5,1
3137543-7,4
3137541-3,2
3137544-9,1
3137545-0,3
3137660-1,0
3138839-5,4
3138983-2,1
3138992-3,3
3171222-5,1
3171259-6,0
3171192-X,4
3171039-1,1
3171064-0,3
3176241-0,0
3176474-3,2
3176907-2,2
3163691-1,1
3163688-1,2
3163554-1,3
3163503-6,4
3163517-6,1
3156533-1,0
3141281-4,0
3141285-1,4
3141287-5,0
3157228-0,2
3141292-9,4
3141227-9,0
3141217-6,0
